FoldingJib,MainJib,Outreach,Height,Condition,Environment,Cd,Load
99.92,41.14,31.95,18.61,Cdyn115,Harbour,1.15,45.23
99.92,48.0,30.07,22.17,Cdyn115,Harbour,1.15,44.66
99.92,54.86,27.78,25.48,Cdyn115,Harbour,1.15,44.89
99.92,61.71,25.11,28.49,Cdyn115,Harbour,1.15,44.67
99.92,68.57,22.1,31.17,Cdyn115,Harbour,1.15,45.24
99.92,75.43,18.8,33.46,Cdyn115,Harbour,1.15,46.64
99.92,82.29,15.24,35.34,Cdyn115,Harbour,1.15,48.96
99.92,84.0,14.32,35.75,Cdyn115,Harbour,1.15,49.71
102.0,0.0,33.88,-4.74,Cdyn115,Harbour,1.15,43.05
102.0,6.86,34.78,-0.78,Cdyn115,Harbour,1.15,41.03
102.0,13.71,35.19,3.26,Cdyn115,Harbour,1.15,40.09
102.0,20.57,35.12,7.31,Cdyn115,Harbour,1.15,40.24
102.0,27.43,34.57,11.33,Cdyn115,Harbour,1.15,41.49
102.0,34.29,33.54,15.26,Cdyn115,Harbour,1.15,43.81
102.0,41.14,32.06,19.03,Cdyn115,Harbour,1.15,44.97
102.0,48.0,30.13,22.6,Cdyn115,Harbour,1.15,44.65
